epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,1788.33,1.14987,1.42508,1.15167,1.03715,0,0.6569,0.77885,0.66213,0.43747,0.66501,0.78846,0.67955,0.38391,1.19698,1.56581,1.22956,1.11994,0,0.0005545,0.0005545,0.0005545
47,1822.09,1.14371,1.4689,1.11528,1.05622,0,0.67108,0.7455,0.67283,0.44276,0.68878,0.76612,0.70093,0.37209,1.22167,1.55862,1.24992,1.13296,0,0.0005446,0.0005446,0.0005446
48,1855.73,1.08639,1.44091,1.13198,1.04759,0,0.63827,0.75,0.67187,0.44365,0.63827,0.75,0.68265,0.3552,1.17492,1.62452,1.25371,1.11085,0,0.0005347,0.0005347,0.0005347
49,1889.43,1.11707,1.45246,1.13562,1.05852,0,0.65597,0.78836,0.70226,0.46669,0.64027,0.77885,0.70217,0.38151,1.1607,1.68968,1.31394,1.11164,0,0.0005248,0.0005248,0.0005248
50,1922.79,1.10127,1.3811,1.19642,1.07962,0,0.63474,0.67308,0.68512,0.47335,0.60685,0.63823,0.66356,0.35926,1.16345,1.59016,1.36188,1.11924,0,0.0005149,0.0005149,0.0005149
51,1956.44,1.0664,1.36054,1.13679,1.05342,0,0.62491,0.69231,0.68457,0.46573,0.59446,0.64423,0.65986,0.35118,1.18967,1.57887,1.3196,1.1214,0,0.000505,0.000505,0.000505
52,1989.68,1.05976,1.30873,1.1148,1.04262,0,0.61456,0.70192,0.67894,0.46331,0.59273,0.60176,0.63673,0.36129,1.15786,1.50009,1.28141,1.11048,0,0.0004951,0.0004951,0.0004951
53,2022.81,1.07316,1.38609,1.11016,1.03422,0,0.65432,0.68269,0.69373,0.47875,0.63589,0.66346,0.66902,0.37856,1.1859,1.59853,1.25936,1.09627,0,0.0004852,0.0004852,0.0004852
54,2056.24,1.08501,1.4409,1.06178,1.02533,0,0.65922,0.78122,0.75561,0.48208,0.63862,0.64571,0.67884,0.3853,1.21354,1.50276,1.23564,1.08594,0,0.0004753,0.0004753,0.0004753
55,2089.9,1.16887,1.42846,1.1424,1.06853,0,0.69627,0.75,0.73813,0.47403,0.65697,0.68269,0.69436,0.37624,1.18825,1.50692,1.24651,1.09064,0,0.0004654,0.0004654,0.0004654
56,2123.22,1.10821,1.48615,1.07899,1.03644,0,0.69347,0.72115,0.72749,0.46983,0.63629,0.68269,0.68997,0.38285,1.18371,1.48562,1.25266,1.08643,0,0.0004555,0.0004555,0.0004555
57,2156.76,1.05831,1.32246,1.0316,1.01862,0,0.74367,0.73077,0.7361,0.47023,0.6172,0.75967,0.69713,0.3988,1.21557,1.497,1.22508,1.07986,0,0.0004456,0.0004456,0.0004456
58,2190.44,1.06097,1.30062,1.05178,1.01199,0,0.73062,0.7563,0.75482,0.49364,0.64561,0.72115,0.71351,0.39134,1.21474,1.51958,1.19373,1.08104,0,0.0004357,0.0004357,0.0004357
59,2224.12,1.07195,1.46472,1.03577,1.02832,0,0.72633,0.76561,0.75426,0.50691,0.69291,0.716,0.72857,0.39702,1.17807,1.50988,1.16237,1.05884,0,0.0004258,0.0004258,0.0004258
60,2257.5,1.05585,1.37566,1.12443,1.01101,0,0.73264,0.80769,0.78663,0.55601,0.7242,0.73222,0.74619,0.44113,1.12218,1.53181,1.133,1.06244,0,0.0004159,0.0004159,0.0004159
61,2290.89,1.0402,1.45397,1.02627,0.99562,0,0.70303,0.81949,0.75715,0.54569,0.66285,0.73727,0.7232,0.42339,1.10313,1.54248,1.13906,1.09204,0,0.000406,0.000406,0.000406
62,2324.51,1.0882,1.43481,1.05998,1.016,0,0.69902,0.79808,0.74967,0.5372,0.65591,0.75151,0.70482,0.39753,1.04133,1.59257,1.15476,1.08409,0,0.0003961,0.0003961,0.0003961
63,2358.09,1.03278,1.28161,1.03936,1.00811,0,0.73678,0.77885,0.74822,0.52585,0.69373,0.73077,0.70437,0.40462,1.03259,1.56752,1.16816,1.07302,0,0.0003862,0.0003862,0.0003862
64,2391.76,1.01379,1.3986,1.01208,1.00932,0,0.72896,0.80769,0.75729,0.50942,0.69288,0.75926,0.69479,0.4071,1.07696,1.54287,1.1771,1.07873,0,0.0003763,0.0003763,0.0003763
65,2424.92,0.97805,1.24488,1.27986,0.94078,0,0.74591,0.79037,0.76633,0.53093,0.70447,0.7564,0.7211,0.41816,1.11038,1.48196,1.16921,1.09511,0,0.0003664,0.0003664,0.0003664
66,2458.62,1.0793,1.38217,1.00442,1.0218,0,0.71349,0.74229,0.75559,0.5204,0.70508,0.71154,0.74119,0.41783,1.1314,1.48235,1.16157,1.12218,0,0.0003565,0.0003565,0.0003565
67,2492,1.03477,1.34633,1.00073,1.02477,0,0.71791,0.78308,0.74228,0.5112,0.70134,0.76772,0.72826,0.40896,1.13547,1.47214,1.17014,1.132,0,0.0003466,0.0003466,0.0003466
68,2525.32,0.98253,1.29684,0.96396,1.00587,0,0.65276,0.75919,0.72556,0.498,0.63392,0.74927,0.70155,0.41511,1.08284,1.5169,1.20578,1.12449,0,0.0003367,0.0003367,0.0003367
69,2558.62,1.03193,1.2541,1.04628,1.04634,0,0.68368,0.74818,0.72013,0.49777,0.62132,0.76923,0.69047,0.41836,1.05777,1.56528,1.20012,1.10556,0,0.0003268,0.0003268,0.0003268
70,2592.17,1.05347,1.31411,1.02309,1.02801,0,0.66676,0.80769,0.7387,0.51054,0.60635,0.76923,0.70678,0.42876,1.10013,1.52624,1.16702,1.10681,0,0.0003169,0.0003169,0.0003169
71,2625.24,1.03698,1.28056,1.03155,1.03061,0,0.69477,0.80769,0.75507,0.53555,0.70245,0.72642,0.72922,0.43785,1.10055,1.51945,1.13007,1.10774,0,0.000307,0.000307,0.000307
72,2658.57,0.96549,1.19915,0.95312,0.97911,0,0.74197,0.80769,0.78081,0.54801,0.70429,0.76923,0.75464,0.43993,1.12426,1.56542,1.0885,1.10904,0,0.0002971,0.0002971,0.0002971
73,2692.02,1.02182,1.3597,0.98492,1.01168,0,0.74332,0.77966,0.78024,0.54427,0.71136,0.73077,0.74638,0.4032,1.18223,1.64285,1.12944,1.08196,0,0.0002872,0.0002872,0.0002872
74,2725.52,1.07361,1.36079,0.9874,1.04098,0,0.73739,0.76923,0.74619,0.51606,0.72394,0.69231,0.69233,0.37198,1.26842,1.6357,1.14456,1.06635,0,0.0002773,0.0002773,0.0002773
75,2758.53,0.99131,1.25509,1.02189,1.02609,0,0.73298,0.77885,0.74661,0.51442,0.73757,0.70192,0.71308,0.3806,1.24585,1.64912,1.15544,1.0677,0,0.0002674,0.0002674,0.0002674
76,2791.84,1.00682,1.30618,0.95175,1.02832,0,0.74863,0.75962,0.74838,0.53627,0.73762,0.74038,0.72015,0.39805,1.19378,1.53777,1.123,1.08075,0,0.0002575,0.0002575,0.0002575
77,2825.03,1.02039,1.35308,0.98653,1.00371,0,0.67869,0.83272,0.75042,0.54835,0.64572,0.79808,0.70197,0.4054,1.10557,1.53306,1.10334,1.08421,0,0.0002476,0.0002476,0.0002476
78,2858.37,0.92662,1.30558,0.94973,0.97226,0,0.66013,0.80308,0.7379,0.53272,0.63035,0.75962,0.67685,0.38955,1.05115,1.55779,1.12397,1.07846,0,0.0002377,0.0002377,0.0002377
79,2891.51,0.9499,1.19965,0.93743,1.01083,0,0.67195,0.8075,0.7402,0.53115,0.63971,0.76829,0.68214,0.39956,1.03979,1.56533,1.12857,1.07624,0,0.0002278,0.0002278,0.0002278
80,2924.64,0.92992,1.24881,1.06408,0.98569,0,0.66134,0.80769,0.73394,0.53224,0.66719,0.71323,0.67521,0.39901,1.04081,1.56993,1.1384,1.07704,0,0.0002179,0.0002179,0.0002179
